C,,,,,,,,,,,,,C,,,,,100,28,,,100,28,,,C,10,10,10,10,,,,,,,,
D,,,,,5,75,,,,,,,D,,,,,91,19,,,91,19,,,D,10,10,10,10,,,,,,,,
E,,,,,,,,,,,,,E,,,,,82,10,,,82,10,,,E,10,10,10,10,,,,,,,,
F,,,,,10,100,,,,,,,F,,,,,73,,,,73,,,,F,10,10,10,10,,,,,,,,
G,,,,,,,,,,,,,G,,,,,64,,,,64,,,,G,10,10,10,10,,,,,,,,
H,,,,,25,150,,,,,,,H,,,,,55,,,,55,,,,H,10,10,10,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX0158494,20,mM,DMSO,,,,,,,,,,,,,,,,,,,,,,,BTX0158502,20,mM,DMSO,,,,,,,,,
µM,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,µM,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,50,,,,,,,,,,,,,,,,,,A,,46,,,,46,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,,,B,,37,,,,37,,,,,,
C,,,,,,,5,75,,,,,,,,,,,,,,,,,,C,100,28,,,100,28,,,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,,,D,91,19,,,91,19,,,,,,
E,,,,,,,10,100,,,,,,,,,,,,,,,,,,E,82,10,,,82,10,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,,,F,73,,,,73,,,,,,,
G,,,,,,,25,150,,,,,,,,,,,,,,,,,,G,64,,,,64,,,,,,,
H,,,,,,,,,,,,,,,,,,,,,,,,,,H,55,,,,55,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTX0158495,20,mM,DMSO,,,,,,,,,,,,,,,,,,,,,,,BTX0158503,20,mM,DMSO,,,,,,,,,
µM,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,µM,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,46,,,,46,,,,
B,,,,,,,1,50,,,,,,,,,,,,,,,,,,B,,,,37,,,,37,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,100,28,,,100,28,,,,
